file_path,column_name,data_type,missing_percentage,unique_count,sample_value,classification,notes
archive (7)\cow_milk_mastitis_dataset.csv,Cow_ID,str,0.0,800,C0001,IDENTIFIER,
archive (7)\cow_milk_mastitis_dataset.csv,Day,int64,0.0,30,7,KEEP candidate,
archive (7)\cow_milk_mastitis_dataset.csv,Milk_Temperature,float64,0.0,311,35.38,KEEP candidate,
archive (7)\cow_milk_mastitis_dataset.csv,Milk_pH,float64,0.0,95,6.49,KEEP candidate,
archive (7)\cow_milk_mastitis_dataset.csv,Milk_Conductivity,float64,0.0,252,4.68,KEEP candidate,
archive (7)\cow_milk_mastitis_dataset.csv,Somatic_Cell_Count,int64,0.0,320,148,UNKNOWN / NEEDS REVIEW,
archive (7)\cow_milk_mastitis_dataset.csv,Milk_Yield,float64,0.0,205,17.3,KEEP candidate,
archive (7)\cow_milk_mastitis_dataset.csv,Clotting,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
archive (7)\cow_milk_mastitis_dataset.csv,class1,int64,0.0,2,0,TARGET candidate,
archive (8)\abp_accel.csv,timestamp,str,0.0,5000,2015-06-12 13:30:00.161041,KEEP candidate,
archive (8)\abp_accel.csv,x,int64,0.0,382,100,UNKNOWN / NEEDS REVIEW,
archive (8)\abp_accel.csv,y,int64,0.0,191,620,UNKNOWN / NEEDS REVIEW,
archive (8)\abp_accel.csv,z,int64,0.0,189,804,UNKNOWN / NEEDS REVIEW,
archive (9)\milknew.csv,pH,float64,0.0,16,6.6,KEEP candidate,
archive (9)\milknew.csv,Temprature,int64,0.0,17,35,KEEP candidate,
archive (9)\milknew.csv,Taste,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
archive (9)\milknew.csv,Odor,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
archive (9)\milknew.csv,Fat ,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
archive (9)\milknew.csv,Turbidity,int64,0.0,2,0,IDENTIFIER,
archive (9)\milknew.csv,Colour,int64,0.0,9,254,KEEP candidate,
archive (9)\milknew.csv,Grade,str,0.0,3,high,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Cow_ID,str,0.0,834,cow1,IDENTIFIER,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Day,int64,0.0,6,1,KEEP candidate,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Breed,str,0.0,2,Jersey,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Months after giving birth,int64,0.0,6,1,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Previous_Mastits_status,int64,0.0,1,0,UNKNOWN / NEEDS REVIEW,
