Cow_ID,earliest_clinical_Day,latest_clinical_Day,first_positive_day,positive_days,negative_days,total_observation_days
cow1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow10,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,5,1,6
cow100,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow1000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1002,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1003,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1004,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1005,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow1006,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1007,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow1008,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow1009,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow101,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow1010,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1011,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1012,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1013,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1014,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1015,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1016,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
