file_path,dataset_name,file_type,rows,columns,cow_id_candidate,date_candidate,timestamp_candidate,target_candidate,time_granularity,notes
archive (7)\cow_milk_mastitis_dataset.csv,archive (7),csv,800,9,Cow_ID,Day,,class1,unknown,
archive (8)\abp_accel.csv,archive (8),csv,14595853,4,,,timestamp,,unknown (needs manual review),
archive (9)\milknew.csv,archive (9),csv,1059,8,Turbidity,,,,unknown,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Clinical_Mastitis_cows_version2,csv,6600,18,Cow_ID,Day,,class1,unknown,
sensor_data\behavior_labels\individual\C01_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C02_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C03_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C04_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C05_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C06_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C07_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C08_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C09_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C10_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C11_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C12_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C13_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C14_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C15_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\behavior_labels\individual\C16_0725.csv,individual,csv,86400,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0721.csv,C01,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0722.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0723.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0724.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0725.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0726.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0727.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0728.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0729.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0730.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0731.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0801.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0802.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0803.csv,C01,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C01\C01_0804.csv,C01,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0721.csv,C02,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0722.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0723.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0724.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0725.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0726.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0727.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0728.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0729.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0730.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0731.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0801.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0802.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0803.csv,C02,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C02\C02_0804.csv,C02,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0721.csv,C03,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0722.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0723.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0724.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0725.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0726.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0727.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0728.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0729.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
