device_id,earliest_sensor_timestamp,latest_sensor_timestamp,number_of_sensor_records,active_dates,active_days
C01,Requires deep read,Requires deep read,24871,Varies based on files,16
C02,Requires deep read,Requires deep read,24871,Varies based on files,16
C03,Requires deep read,Requires deep read,24871,Varies based on files,16
C04,Requires deep read,Requires deep read,24871,Varies based on files,16
C05,Requires deep read,Requires deep read,24871,Varies based on files,16
C06,Requires deep read,Requires deep read,24871,Varies based on files,16
C07,Requires deep read,Requires deep read,24481,Varies based on files,16
C08,Requires deep read,Requires deep read,24871,Varies based on files,16
C09,Requires deep read,Requires deep read,24871,Varies based on files,16
C10,Requires deep read,Requires deep read,24871,Varies based on files,16
C11,Requires deep read,Requires deep read,5040,Varies based on files,1
C12,Requires deep read,Requires deep read,5040,Varies based on files,1
C13,Requires deep read,Requires deep read,5040,Varies based on files,1
C14,Requires deep read,Requires deep read,5040,Varies based on files,1
C15,Requires deep read,Requires deep read,5040,Varies based on files,1
C16,Requires deep read,Requires deep read,5040,Varies based on files,1
T01,Requires deep read,Requires deep read,36406134,Varies based on files,75
T02,Requires deep read,Requires deep read,36398988,Varies based on files,75
T03,Requires deep read,Requires deep read,36405825,Varies based on files,75
T04,Requires deep read,Requires deep read,36405438,Varies based on files,75
T05,Requires deep read,Requires deep read,36405444,Varies based on files,75
T06,Requires deep read,Requires deep read,36403173,Varies based on files,75
T07,Requires deep read,Requires deep read,35689176,Varies based on files,75
T08,Requires deep read,Requires deep read,36405318,Varies based on files,75
T09,Requires deep read,Requires deep read,36405084,Varies based on files,75
T10,Requires deep read,Requires deep read,36405102,Varies based on files,75
T11,Requires deep read,Requires deep read,0,Varies based on files,0
T12,Requires deep read,Requires deep read,0,Varies based on files,0
T13,Requires deep read,Requires deep read,35633589,Varies based on files,75
T14,Requires deep read,Requires deep read,36349761,Varies based on files,75
