feature_name,source_dataset,source_file,source_column,data_type,time_granularity,cow_identifier,date_identifier,transformation_required,leakage_risk,notes
Milk_Temperature,archive (7),archive (7)\cow_milk_mastitis_dataset.csv,Milk_Temperature,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Milk_pH,archive (7),archive (7)\cow_milk_mastitis_dataset.csv,Milk_pH,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Milk_Conductivity,archive (7),archive (7)\cow_milk_mastitis_dataset.csv,Milk_Conductivity,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Somatic_Cell_Count,archive (7),archive (7)\cow_milk_mastitis_dataset.csv,Somatic_Cell_Count,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Milk_Yield,archive (7),archive (7)\cow_milk_mastitis_dataset.csv,Milk_Yield,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Clotting,archive (7),archive (7)\cow_milk_mastitis_dataset.csv,Clotting,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
x,archive (8),archive (8)\abp_accel.csv,x,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
y,archive (8),archive (8)\abp_accel.csv,y,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
z,archive (8),archive (8)\abp_accel.csv,z,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pH,archive (9),archive (9)\milknew.csv,pH,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Temprature,archive (9),archive (9)\milknew.csv,Temprature,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Taste,archive (9),archive (9)\milknew.csv,Taste,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Odor,archive (9),archive (9)\milknew.csv,Odor,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Fat ,archive (9),archive (9)\milknew.csv,Fat ,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Turbidity,archive (9),archive (9)\milknew.csv,Turbidity,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Colour,archive (9),archive (9)\milknew.csv,Colour,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Grade,archive (9),archive (9)\milknew.csv,Grade,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Breed,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Breed,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Months after giving birth,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Months after giving birth,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Previous_Mastits_status,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Previous_Mastits_status,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
IUFL,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,IUFL,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
EUFL,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,EUFL,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
IUFR,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,IUFR,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
EUFR,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,EUFR,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
IURL,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,IURL,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
EURL,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,EURL,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
IURR,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,IURR,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
EURR,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,EURR,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Temperature,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Temperature,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Hardness,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Hardness,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Pain,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Pain,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Milk_visibility,Clinical_Mastitis_cows_version2,Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Milk_visibility,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
behavior,individual,sensor_data\behavior_labels\individual\C01_0725.csv,behavior,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C01,sensor_data\main_data\ankle\C01\C01_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C02,sensor_data\main_data\ankle\C02\C02_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C03,sensor_data\main_data\ankle\C03\C03_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C04,sensor_data\main_data\ankle\C04\C04_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C05,sensor_data\main_data\ankle\C05\C05_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C06,sensor_data\main_data\ankle\C06\C06_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C07,sensor_data\main_data\ankle\C07\C07_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C08,sensor_data\main_data\ankle\C08\C08_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C09,sensor_data\main_data\ankle\C09\C09_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
lying,C10,sensor_data\main_data\ankle\C10\C10_0721.csv,lying,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
temperature_C,cbt,sensor_data\main_data\cbt\C01.csv,temperature_C,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
