device_id,possible_cow_id,evidence_type,evidence_source,evidence_value,confidence,notes
C01,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C02,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C03,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C04,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C05,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C06,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C07,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C08,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C09,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C10,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C11,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C12,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C13,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C14,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C15,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
C16,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T01,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T02,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T03,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T04,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T05,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T06,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T07,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T08,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T09,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T10,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T11,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T12,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T13,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
T14,UNKNOWN,Exhaustive Search,All raw files,No explicit mapping file found connecting C/T prefixes to Cow_ID,UNKNOWN,Cannot infer from folder names.
