cow_id,first_positive_day,positive_days,negative_days,total_days,event_identified,notes
cow1,,0,6,6,No,
cow10,1970-01-01 00:00:00.000000001,5,1,6,Yes,
cow100,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1000,,0,6,6,No,
cow1001,,0,6,6,No,
cow1002,,0,6,6,No,
cow1003,,0,6,6,No,
cow1004,,0,6,6,No,
cow1005,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1006,,0,6,6,No,
cow1007,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1008,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1009,,0,6,6,No,
cow101,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1010,,0,6,6,No,
cow1011,,0,6,6,No,
cow1012,,0,6,6,No,
cow1013,,0,6,6,No,
cow1014,,0,6,6,No,
cow1015,,0,6,6,No,
cow1016,,0,6,6,No,
cow1017,,0,6,6,No,
cow1018,,0,6,6,No,
cow1019,,0,6,6,No,
cow102,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1020,,0,6,6,No,
cow1021,,0,6,6,No,
cow1022,,0,6,6,No,
cow1023,,0,6,6,No,
cow1024,,0,6,6,No,
cow1025,,0,6,6,No,
cow1026,,0,6,6,No,
cow1027,,0,6,6,No,
cow1028,,0,6,6,No,
cow1029,,0,6,6,No,
cow103,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1030,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1031,,0,6,6,No,
cow1032,,0,6,6,No,
cow1033,,0,6,6,No,
cow1034,,0,6,6,No,
cow1035,,0,6,6,No,
cow1036,,0,6,6,No,
cow1037,,0,6,6,No,
cow1038,,0,6,6,No,
cow1039,,0,6,6,No,
cow104,,0,6,6,No,
cow1040,,0,6,6,No,
cow1041,,0,6,6,No,
cow1042,,0,6,6,No,
cow1043,,0,6,6,No,
cow1044,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1045,,0,6,6,No,
cow1046,,0,6,6,No,
cow1047,,0,6,6,No,
cow1048,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1049,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow105,,0,6,6,No,
cow1050,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1051,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1052,,0,6,6,No,
cow1053,,0,6,6,No,
cow1054,,0,6,6,No,
cow1055,,0,6,6,No,
cow1056,,0,6,6,No,
cow1057,,0,6,6,No,
cow1058,,0,6,6,No,
cow1059,,0,6,6,No,
cow106,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1060,,0,6,6,No,
cow1061,,0,6,6,No,
cow1062,,0,6,6,No,
cow1063,,0,6,6,No,
cow1064,,0,6,6,No,
cow1065,,0,6,6,No,
cow1066,,0,6,6,No,
cow1067,,0,6,6,No,
cow1068,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1069,,0,6,6,No,
cow107,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1070,,0,6,6,No,
cow1071,,0,6,6,No,
cow1072,,0,6,6,No,
cow1073,,0,6,6,No,
cow1074,,0,6,6,No,
cow1075,,0,6,6,No,
cow1076,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1077,,0,6,6,No,
cow1078,,0,6,6,No,
cow1079,,0,6,6,No,
cow108,,0,6,6,No,
cow1080,,0,6,6,No,
cow1081,,0,6,6,No,
cow1082,,0,6,6,No,
cow1083,,0,6,6,No,
cow1084,,0,6,6,No,
cow1085,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1086,,0,6,6,No,
cow1087,,0,6,6,No,
cow1088,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1089,,0,6,6,No,
cow109,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1090,,0,6,6,No,
cow1091,,0,6,6,No,
cow1092,,0,6,6,No,
cow1093,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1094,,0,6,6,No,
cow1095,,0,6,6,No,
cow1096,,0,6,6,No,
cow1097,,0,6,6,No,
cow1098,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow1099,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow11,,0,6,6,No,
cow110,,0,6,6,No,
cow1100,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow111,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow112,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow113,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow114,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow115,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow116,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow117,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow118,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow119,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow12,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow120,,0,6,6,No,
cow121,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow122,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow123,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow124,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow125,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow126,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow127,,0,6,6,No,
cow128,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow129,,0,6,6,No,
cow13,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow130,,0,6,6,No,
cow131,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow132,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow133,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow134,,0,6,6,No,
cow135,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow136,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow137,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow138,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow139,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow14,,0,6,6,No,
cow140,,0,6,6,No,
cow141,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow142,,0,6,6,No,
cow143,,0,6,6,No,
cow144,,0,6,6,No,
cow145,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow146,,0,6,6,No,
cow147,,0,6,6,No,
cow148,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow149,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow15,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow150,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow151,,0,6,6,No,
cow152,,0,6,6,No,
cow153,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow154,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow155,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow156,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow157,,0,6,6,No,
cow158,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow159,,0,6,6,No,
cow16,,0,6,6,No,
cow160,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow161,,0,6,6,No,
cow162,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow163,,0,6,6,No,
cow164,,0,6,6,No,
cow165,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow166,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow167,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow168,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow169,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow17,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow170,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow171,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow172,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow173,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow174,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow175,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow176,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow177,,0,6,6,No,
cow178,,0,6,6,No,
cow179,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow18,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow180,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow181,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow182,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow183,,0,6,6,No,
cow184,,0,6,6,No,
cow185,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow186,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow187,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow188,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow189,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow19,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow190,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow191,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow192,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow193,,0,6,6,No,
cow194,,0,6,6,No,
cow195,,0,6,6,No,
cow196,,0,6,6,No,
cow197,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow198,,0,6,6,No,
cow199,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow2,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow20,,0,6,6,No,
cow200,,0,6,6,No,
cow201,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow202,,0,6,6,No,
cow203,,0,6,6,No,
cow204,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow205,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow206,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow207,,0,6,6,No,
cow208,,0,6,6,No,
cow209,,0,6,6,No,
cow21,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow210,,0,6,6,No,
cow211,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow212,,0,6,6,No,
cow213,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow214,,0,6,6,No,
cow215,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow216,,0,6,6,No,
cow217,,0,6,6,No,
cow218,,0,6,6,No,
cow219,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow22,,0,6,6,No,
cow220,,0,6,6,No,
cow221,,0,6,6,No,
cow222,,0,6,6,No,
cow223,,0,6,6,No,
cow224,,0,6,6,No,
cow225,,0,6,6,No,
cow226,,0,6,6,No,
cow227,,0,6,6,No,
cow228,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow229,,0,6,6,No,
cow23,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow230,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow231,,0,6,6,No,
cow232,,0,6,6,No,
cow233,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow234,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow235,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow236,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow237,,0,6,6,No,
cow238,,0,6,6,No,
cow239,,0,6,6,No,
cow24,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow240,,0,6,6,No,
cow241,,0,6,6,No,
cow242,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow243,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow244,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow245,,0,6,6,No,
cow246,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow247,,0,6,6,No,
cow248,,0,6,6,No,
cow249,,0,6,6,No,
cow25,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow250,,0,6,6,No,
cow251,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow252,,0,6,6,No,
cow253,,0,6,6,No,
cow254,,0,6,6,No,
cow255,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow256,,0,6,6,No,
