Milk_Temperature,Milk_Conductivity,Milk_Yield,class1
35.38,4.68,17.3,0
35.68,5.04,20.4,0
34.87,4.73,18.5,0
36.22,4.48,23.5,0
35.46,5.0,23.9,0
36.06,4.63,22.6,0
35.67,4.86,20.9,0
38.48,7.33,6.9,1
35.78,4.51,16.4,0
35.72,4.73,25.8,0
35.82,4.7,17.7,0
38.37,6.29,10.8,1
35.6,4.62,23.2,0
35.85,4.15,18.3,0
37.88,6.47,5.5,1
37.58,6.68,15.0,1
39.09,6.33,12.5,1
36.4,4.63,18.6,0
35.48,5.0,16.1,0
34.78,4.49,18.5,0
35.56,4.24,20.6,0
35.16,4.65,20.2,0
35.92,4.55,18.8,0
38.1,5.76,7.4,1
35.28,4.65,21.4,0
34.56,4.85,25.9,0
35.27,4.7,21.4,0
34.29,4.79,21.8,0
34.71,5.24,21.7,0
35.88,4.6,21.2,0
35.89,4.78,22.8,0
35.71,4.55,21.2,0
35.02,4.45,19.1,0
35.48,4.52,17.6,0
38.04,7.08,9.1,1
34.92,4.81,20.9,0
36.25,5.4,19.1,0
37.62,6.83,10.3,1
35.39,4.58,21.3,0
38.67,8.0,10.9,1
35.6,4.82,23.8,0
38.06,7.14,8.2,1
35.38,5.09,16.1,0
38.34,7.08,9.2,1
35.0,3.98,20.1,0
37.62,6.78,11.0,1
36.4,5.03,24.2,0
35.82,4.23,20.4,0
38.54,7.2,13.4,1
35.79,4.87,24.1,0
36.2,4.77,18.1,0
35.96,4.37,21.7,0
35.53,4.4,19.7,0
35.18,4.41,19.4,0
35.85,4.73,17.7,0
37.21,6.16,8.1,1
35.95,4.85,18.9,0
35.82,3.84,22.1,0
37.21,6.43,6.8,1
38.45,6.73,9.7,1
36.16,4.62,23.2,0
35.6,4.54,20.3,0
36.54,4.94,19.3,0
35.16,4.14,21.2,0
36.37,4.71,26.9,0
35.6,4.87,14.7,0
35.17,5.26,22.3,0
35.26,4.56,17.3,0
37.89,6.88,8.6,1
37.51,7.0,6.3,1
35.76,3.98,18.7,0
35.21,4.95,20.0,0
35.49,4.7,16.6,0
37.67,6.0,9.9,1
36.36,4.29,14.6,0
35.72,4.86,21.6,0
37.45,6.28,8.1,1
38.71,6.58,13.4,1
37.95,7.44,8.5,1
34.99,4.7,15.3,0
35.37,4.23,20.1,0
34.67,5.11,15.7,0
38.48,7.17,4.9,1
38.14,7.07,7.8,1
35.26,4.23,18.6,0
36.29,4.35,20.9,0
34.89,5.13,17.7,0
38.05,6.46,7.0,1
37.98,7.61,12.2,1
36.02,4.68,21.9,0
36.34,4.15,25.3,0
35.27,4.97,28.4,0
37.73,6.71,8.7,1
38.05,6.39,11.7,1
38.08,7.21,7.6,1
35.94,4.24,24.5,0
35.83,4.75,22.3,0
34.71,5.36,18.5,0
36.24,4.85,23.7,0
38.21,6.71,10.4,1
37.68,7.16,8.2,1
38.89,6.98,6.9,1
37.4,6.97,5.2,1
35.63,4.37,23.1,0
35.22,4.77,16.8,0
37.66,6.24,11.9,1
38.7,7.15,11.2,1
36.09,5.13,22.3,0
35.77,4.67,18.1,0
35.31,4.43,16.0,0
37.93,6.65,8.0,1
34.08,4.61,19.9,0
36.07,4.93,16.5,0
34.63,4.61,16.5,0
35.32,4.68,26.3,0
34.94,4.85,17.4,0
34.85,4.79,19.0,0
36.08,4.1,18.9,0
35.27,4.36,18.7,0
35.67,4.98,21.9,0
35.48,4.66,22.8,0
37.89,6.69,11.1,1
35.54,4.29,16.3,0
34.86,4.38,23.8,0
38.66,6.9,6.8,1
35.25,4.67,25.2,0
34.72,4.52,13.3,0
35.29,4.41,20.6,0
36.25,4.68,25.8,0
35.93,4.81,18.9,0
35.33,5.33,19.3,0
35.33,4.25,20.9,0
35.34,5.05,18.3,0
36.54,4.99,19.1,0
35.69,4.47,19.0,0
35.72,4.76,18.1,0
36.02,4.56,23.7,0
35.62,4.76,21.4,0
37.76,6.84,7.7,1
35.4,4.88,22.4,0
35.46,4.85,19.2,0
35.48,4.57,17.7,0
35.86,4.25,18.2,0
