sensor_or_folder_id,identifier_type,cow_id,mapping_status,source_file,evidence,confidence
C01,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C02,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C03,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C04,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C05,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C06,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C07,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C08,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C09,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C10,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C11,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C12,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C13,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C14,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C15,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
C16,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T01,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T02,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T03,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T04,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T05,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T06,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T07,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T08,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T09,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T10,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T11,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T12,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T13,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
T14,Device/Folder ID,UNKNOWN,NO_MAPPING_FOUND,None,No explicit mapping files found in dataset inventory.,LOW
