Cow_ID,Day,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,class1,temp_norm,cond_norm,yield_norm,risk_score,risk_level,pred_class1
C0001,7,35.38,6.49,4.68,148,17.3,0,0,0.23000000000000043,0.27999999999999997,0.48846153846153845,32.7623076923077,LOW,0
C0002,20,35.68,6.46,5.04,101,20.4,0,0,0.27999999999999997,0.34,0.3692307692307693,32.86615384615385,LOW,0
C0003,29,34.87,6.84,4.73,206,18.5,0,0,0.14499999999999957,0.2883333333333334,0.4423076923076923,28.73320512820512,LOW,0
C0004,15,36.22,6.69,4.48,96,23.5,0,0,0.36999999999999983,0.24666666666666673,0.25,28.96333333333333,LOW,0
C0005,11,35.46,6.56,5.0,142,23.9,0,0,0.24333333333333348,0.3333333333333333,0.23461538461538467,27.21307692307693,LOW,0
C0006,8,36.06,6.7,4.63,108,22.6,0,0,0.3433333333333337,0.27166666666666667,0.28461538461538455,30.004743589743597,LOW,0
C0007,29,35.67,6.39,4.86,173,20.9,0,0,0.2783333333333336,0.31000000000000005,0.35000000000000003,31.16333333333334,LOW,0
C0008,21,38.48,6.89,7.33,733,6.9,0,1,0.7466666666666661,0.7216666666666667,0.8884615384615385,78.18730769230768,HIGH,1
C0009,7,35.78,6.68,4.51,129,16.4,0,0,0.29666666666666686,0.25166666666666665,0.5230769230769231,35.11038461538462,LOW,0
C0010,26,35.72,6.74,4.73,184,25.8,0,0,0.28666666666666646,0.2883333333333334,0.16153846153846152,24.846025641025637,LOW,0
C0011,19,35.82,6.55,4.7,151,17.7,0,0,0.3033333333333334,0.2833333333333334,0.4730769230769231,34.895384615384614,LOW,0
C0012,23,38.37,6.93,6.29,762,10.8,1,1,0.7283333333333329,0.5483333333333333,0.7384615384615384,66.84730769230768,HIGH,1
C0013,11,35.6,6.56,4.62,111,23.2,0,0,0.2666666666666669,0.27,0.26153846153846155,26.624358974358987,LOW,0
C0014,11,35.85,6.68,4.15,94,18.3,0,0,0.30833333333333357,0.19166666666666674,0.44999999999999996,31.14166666666668,LOW,0
C0015,24,37.88,7.03,6.47,597,5.5,0,1,0.6466666666666671,0.5783333333333333,0.9423076923076923,71.4398717948718,HIGH,1
C0016,21,37.58,7.3,6.68,685,15.0,1,1,0.5966666666666663,0.6133333333333333,0.5769230769230769,59.637948717948696,MODERATE,1
C0017,4,39.09,7.05,6.33,777,12.5,1,1,0.8483333333333339,0.555,0.6730769230769231,69.13371794871797,HIGH,1
C0018,8,36.4,6.72,4.63,147,18.6,0,0,0.39999999999999974,0.27166666666666667,0.4384615384615384,36.70064102564101,LOW,0
C0019,24,35.48,6.74,5.0,158,16.1,0,0,0.24666666666666615,0.3333333333333333,0.5346153846153846,36.62641025641024,LOW,0
C0020,3,34.78,6.63,4.49,85,18.5,0,0,0.1300000000000002,0.24833333333333338,0.4423076923076923,26.823205128205142,LOW,0
C0021,22,35.56,6.65,4.24,226,20.6,0,0,0.2600000000000004,0.2066666666666667,0.3615384615384615,27.281025641025654,LOW,0
C0022,21,35.16,6.51,4.65,143,20.2,0,0,0.19333333333333277,0.2750000000000001,0.37692307692307697,27.882948717948704,LOW,0
C0023,2,35.92,6.62,4.55,178,18.8,0,0,0.3200000000000003,0.2583333333333333,0.43076923076923074,33.27551282051283,LOW,0
C0024,24,38.1,7.28,5.76,544,7.4,1,1,0.6833333333333336,0.45999999999999996,0.8692307692307693,66.27948717948719,HIGH,1
C0025,12,35.28,6.91,4.65,162,21.4,0,0,0.2133333333333335,0.2750000000000001,0.3307692307692308,27.1321794871795,LOW,0
C0026,30,34.56,6.54,4.85,98,25.9,0,0,0.09333333333333371,0.3083333333333333,0.15769230769230774,18.853461538461552,LOW,0
C0027,6,35.27,6.8,4.7,168,21.4,0,0,0.2116666666666672,0.2833333333333334,0.3307692307692308,27.367179487179506,LOW,0
C0028,2,34.29,6.75,4.79,136,21.8,0,0,0.048333333333333194,0.29833333333333334,0.3153846153846154,21.86192307692307,LOW,0
C0029,28,34.71,6.68,5.24,151,21.7,0,0,0.11833333333333347,0.37333333333333335,0.31923076923076926,26.986153846153854,LOW,0
C0030,21,35.88,6.83,4.6,178,21.2,0,0,0.31333333333333374,0.2666666666666666,0.3384615384615385,30.478974358974376,LOW,0
C0031,1,35.89,6.69,4.78,101,22.8,0,0,0.3150000000000001,0.2966666666666667,0.2769230769230769,29.67794871794872,LOW,0
C0032,12,35.71,6.69,4.55,123,21.2,0,0,0.28500000000000014,0.2583333333333333,0.3384615384615385,29.22397435897436,LOW,0
C0033,26,35.02,6.64,4.45,168,19.1,0,0,0.1700000000000005,0.2416666666666667,0.4192307692307692,27.2344871794872,LOW,0
C0034,22,35.48,6.77,4.52,234,17.6,0,0,0.24666666666666615,0.25333333333333324,0.4769230769230769,32.037948717948694,LOW,0
C0035,29,38.04,7.21,7.08,791,9.1,1,1,0.6733333333333332,0.68,0.8038461538461538,71.6125641025641,HIGH,1
C0036,12,34.92,6.59,4.81,174,20.9,0,0,0.15333333333333363,0.3016666666666666,0.35000000000000003,26.621666666666677,LOW,0
C0037,25,36.25,6.52,5.4,146,19.1,0,0,0.375,0.4000000000000001,0.4192307692307692,39.746153846153845,LOW,0
C0038,17,37.62,7.11,6.83,569,10.3,1,1,0.6033333333333329,0.6383333333333333,0.7576923076923077,66.34346153846153,HIGH,1
C0039,27,35.39,6.57,4.58,80,21.3,0,0,0.23166666666666677,0.26333333333333336,0.3346153846153846,27.466410256410263,LOW,0
C0040,27,38.67,7.11,8.0,632,10.9,1,1,0.7783333333333337,0.8333333333333334,0.7346153846153847,78.40307692307692,HIGH,1
C0041,10,35.6,6.77,4.82,85,23.8,0,0,0.2666666666666669,0.3033333333333334,0.23846153846153845,27.075641025641033,LOW,0
C0042,28,38.06,7.02,7.14,459,8.2,1,1,0.6766666666666671,0.69,0.8384615384615385,73.14897435897437,HIGH,1
C0043,28,35.38,6.65,5.09,162,16.1,0,0,0.23000000000000043,0.34833333333333333,0.5346153846153846,36.58474358974361,LOW,0
C0044,16,38.34,7.09,7.08,525,9.2,1,1,0.7233333333333339,0.68,0.8,73.19333333333336,HIGH,1
C0045,15,35.0,6.73,3.98,139,20.1,0,0,0.16666666666666666,0.16333333333333333,0.3807692307692307,23.187179487179485,LOW,0
C0046,30,37.62,6.96,6.78,759,11.0,0,1,0.6033333333333329,0.63,0.7307692307692307,65.21717948717946,HIGH,1
C0047,30,36.4,6.59,5.03,274,24.2,0,0,0.39999999999999974,0.3383333333333334,0.22307692307692312,32.35705128205128,LOW,0
C0048,15,35.82,6.67,4.23,140,20.4,0,0,0.3033333333333334,0.20500000000000007,0.3692307692307693,28.93448717948719,LOW,0
C0049,30,38.54,7.33,7.2,388,13.4,1,1,0.7566666666666665,0.7000000000000001,0.6384615384615385,70.01897435897436,HIGH,1
C0050,19,35.79,6.6,4.87,124,24.1,0,0,0.2983333333333332,0.3116666666666667,0.22692307692307687,28.086282051282048,LOW,0
C0051,12,36.2,6.46,4.77,162,18.1,0,0,0.36666666666666714,0.29499999999999993,0.4576923076923076,36.98012820512822,LOW,0
C0052,23,35.96,6.71,4.37,140,21.7,0,0,0.3266666666666668,0.22833333333333336,0.31923076923076926,28.994487179487187,LOW,0
C0053,20,35.53,6.59,4.4,134,19.7,0,0,0.25500000000000017,0.2333333333333334,0.3961538461538462,29.117435897435907,LOW,0
C0054,25,35.18,6.53,4.41,223,19.4,0,0,0.19666666666666663,0.23500000000000001,0.40769230769230774,27.55012820512821,LOW,0
C0055,3,35.85,6.59,4.73,197,17.7,0,0,0.30833333333333357,0.2883333333333334,0.4730769230769231,35.24038461538462,LOW,0
C0056,5,37.21,6.85,6.16,396,8.1,1,1,0.5350000000000001,0.5266666666666667,0.8423076923076922,62.73487179487181,HIGH,1
C0057,19,35.95,6.59,4.85,58,18.9,0,0,0.32500000000000046,0.3083333333333333,0.42692307692307696,35.07628205128207,LOW,0
C0058,7,35.82,6.43,3.84,136,22.1,0,0,0.3033333333333334,0.13999999999999999,0.30384615384615377,24.632564102564103,LOW,0
C0059,21,37.21,7.08,6.43,506,6.8,1,1,0.5350000000000001,0.5716666666666667,0.8923076923076922,65.8598717948718,HIGH,1
C0060,9,38.45,7.3,6.73,624,9.7,1,1,0.7416666666666671,0.6216666666666667,0.7807692307692308,71.17884615384618,HIGH,1
C0061,7,36.16,6.72,4.62,194,23.2,0,0,0.35999999999999943,0.27,0.26153846153846155,29.79769230769229,LOW,0
C0062,18,35.6,6.54,4.54,208,20.3,0,0,0.2666666666666669,0.25666666666666665,0.37307692307692303,29.61538461538462,LOW,0
C0063,4,36.54,6.63,4.94,159,19.3,0,0,0.4233333333333332,0.3233333333333334,0.4115384615384615,38.4676923076923,LOW,0
C0064,25,35.16,6.65,4.14,116,21.2,0,0,0.19333333333333277,0.18999999999999995,0.3384615384615385,23.715641025641006,LOW,0
C0065,28,36.37,6.71,4.71,53,26.9,0,0,0.3949999999999996,0.285,0.11923076923076928,27.101153846153835,LOW,0
C0066,14,35.6,6.72,4.87,177,14.7,0,0,0.2666666666666669,0.3116666666666667,0.5884615384615385,38.2173076923077,LOW,0
C0067,18,35.17,6.58,5.26,117,22.3,0,0,0.19500000000000028,0.37666666666666665,0.2961538461538461,28.994102564102576,LOW,0
